id,tecnica,motivo
S01-P03,alejar,La sala entera inmóvil: importa el colectivo
S01-P05,quieto,La ausencia de la nave; moverse la suavizaría
S02-P01,acercar,El recorte de diario — objeto
S02-P03,alejar,De la fórmula al aula: la anécdota que se cuenta en todas partes
S02-P04,quieto,Es la frase más importante del bloque; el movimiento distraería
S03-P01,acercar,El informe oficial — objeto clave de la historia
S03-P04,alejar,La responsabilidad es colectiva: la mesa entera
S03-P05,quieto,"Sala limpia estéril; la nave está inerte, en construcción"
S04-P01,acercar,Primera presentación del sujeto del video
S04-P02,alejar,Escala planetaria: la tormenta sobre Marte
S04-P03,quieto,Placa contemplativa mientras la voz enumera
S04-P04,acercar,El Polar Lander — objeto nombrado exactamente acá
S05-P01,quieto,Contraluz contemplativo mientras la voz explica
S05-P03,acercar,Detalle mecánico de la rueda — inserto
S05-P06,alejar,"Después del remate «Casi», el plano se abre y deja respirar"
S06-P01,acercar,La antena que recibe los datos — objeto
S06-P05,alejar,"Después de dos gráficos cerrados, vuelve al mundo físico"
S06-P07,quieto,La impresora ya tiene movimiento propio
S07-P02,acercar,La asimetría del panel es la causa del accidente: hay que VERLA
S07-P04,alejar,De la decisión al lugar donde se tomó
S07-P05,acercar,El golpe del bloque: entrar sobre quienes no avisaron
S07-P07,alejar,Vacío institucional: el plano se abre sobre lo que quedó
S08-P02,acercar,El calendario tachado — objeto que mide el tiempo
S08-P03,alejar,La soledad se lee abriendo
S08-P04,acercar,Retrato. Entrar en el plano es entrar en la persona
S08-P05,quieto,El dato ya está marcado; el movimiento distraería
S09-P01,alejar,"Rendición: el cuerpo se abandona, el plano se abre"
S09-P04,acercar,Cierre: la cámara entra sobre el planeta y deja el silencio
